"","Korea","Saudi","Taiwan","Mexico","USA","China","Canada","Japan","HongKong","Date"
"2010-04-01",1719.17004394531,6801.009765625,8013.08984375,33648.890625,1178.09997558594,3147.416015625,12151.099609375,11244.400390625,21537,2010-04-01
"2010-04-02",1723.48999023438,NA,8025.93017578125,33801.2109375,1187.43994140625,3157.95703125,12186.400390625,11286.08984375,21928.76953125,2010-04-02
"2010-04-05",1724.98999023438,6805.31982421875,8089.64990234375,33632.3515625,1189.43994140625,3158.68090820312,12156.7001953125,11339.2998046875,21867.0390625,2010-04-05
"2010-04-06",1726.08996582031,6759.47021484375,8121.77978515625,33567.3515625,1182.44995117188,3148.22192382812,12110.900390625,11282.3203125,22208.5,2010-04-06
"2010-04-07",1726.59997558594,6774.97998046875,8057.60009765625,33840.8515625,1186.43994140625,3118.708984375,12113.5,11292.830078125,22138.169921875,2010-04-07
"2010-04-08",1733.78002929688,6774.97998046875,8092.02978515625,33852.390625,1194.36999511719,3145.34692382812,12176.7998046875,11168.2001953125,22103.529296875,2010-04-08
"2010-04-09",1724.46997070312,NA,8117.75,33819.0390625,1196.47998046875,3129.26293945312,12148.7001953125,11204.33984375,22121.4296875,2010-04-09
"2010-04-12",1710.30004882812,6883.14013671875,8029.72998046875,34113.9296875,1197.30004882812,3161.2509765625,12101.5,11251.900390625,22157.8203125,2010-04-12
"2010-04-13",1710.58996582031,6883.81005859375,8097.1298828125,34134.23046875,1210.65002441406,3166.18310546875,12204.400390625,11161.23046875,21865.259765625,2010-04-13
"2010-04-14",1735.32995605469,6890.740234375,8171.93994140625,33621.390625,1211.67004394531,3164.96606445312,12211.5,11204.900390625,21405.169921875,2010-04-14
"2010-04-15",1743.91003417969,6890.740234375,8111.56982421875,33439.76953125,1192.13000488281,3130.30200195312,12070.7001953125,11273.7900390625,21623.380859375,2010-04-15
"2010-04-16",1734.48999023438,NA,7854.22021484375,33813.16015625,1197.52001953125,2980.29711914062,12103,11102.1796875,21510.9296875,2010-04-16
"2010-04-19",1705.30004882812,6852.39990234375,7900.419921875,33517.1796875,1207.17004394531,2979.53295898438,12113.5,10908.76953125,21454.939453125,2010-04-19
"2010-04-20",1718.03002929688,6714.58984375,7990.52978515625,33658.37109375,1205.93994140625,3033.27807617188,12134.599609375,10900.6796875,21244.490234375,2010-04-20
"2010-04-21",1747.57995605469,6730.1201171875,7978.68994140625,33853.69140625,1208.67004394531,2999.48388671875,12160.900390625,11090.0498046875,21587.060546875,2010-04-21
"2010-04-22",1739.52001953125,6730.1201171875,8004.89013671875,33771.55078125,1217.28002929688,2983.537109375,12239.599609375,10949.08984375,21261.7890625,2010-04-22
"2010-04-23",1737.03002929688,NA,8158.14013671875,32679.359375,1212.05004882812,2969.5029296875,12281,10914.4599609375,20949.400390625,2010-04-23
"2010-04-26",1752.19995117188,6929.39990234375,8146.43994140625,32952.859375,1183.7099609375,2907.92797851562,12146.7001953125,11165.7900390625,20778.919921875,2010-04-26
"2010-04-27",1749.55004882812,6912.169921875,8081.5498046875,32861,1191.35998535156,2900.3310546875,12076.900390625,11212.66015625,21108.58984375,2010-04-27
"2010-04-28",1733.91003417969,6867.97021484375,8054.0498046875,32687.3203125,1206.78002929688,2868.43188476562,12200.2998046875,10924.7900390625,20811.359375,2010-04-28
"2010-04-29",1728.42004394531,6867.97021484375,8004.25,32120.650390625,1186.68994140625,2870.61108398438,12210.7001953125,11057.400390625,20763.05078125,2010-04-29
"2010-04-30",1741.56005859375,NA,7952.169921875,31995.279296875,1202.26000976562,2835.27709960938,12196.5,10695.6904296875,20327.5390625,2010-04-30
"2010-05-03",1721.2099609375,6891.72021484375,7930.77001953125,31398.970703125,1173.59997558594,2857.15087890625,12030.900390625,10364.58984375,20133.41015625,2010-05-03
"2010-05-04",1718.75,6886.080078125,7696.89990234375,31488.8203125,1165.86999511719,2739.70190429688,11875.099609375,10530.7001953125,19920.2890625,2010-05-04
"2010-05-06",1684.7099609375,6817.85986328125,7579.47998046875,32276.919921875,1128.15002441406,2688.38305664062,11842.400390625,10411.099609375,20426.640625,2010-05-06
"2010-05-07",1647.5,6817.85986328125,7567.10009765625,32119.109375,1110.88000488281,2698.75708007812,11692.400390625,10394.0302734375,20146.509765625,2010-05-07
"2010-05-10",1677.63000488281,NA,7664.72998046875,32379.630859375,1159.72998046875,2647.57299804688,11947.900390625,10620.5498046875,20212.490234375,2010-05-10
"2010-05-11",1670.23999023438,6760.72021484375,7608.43994140625,32342.4296875,1155.7900390625,2655.71411132812,12000.599609375,10462.509765625,20422.4609375,2010-05-11
"2010-05-12",1663.03002929688,6689.81005859375,7602.7001953125,31812.73046875,1171.67004394531,2710.50708007812,12196,10235.759765625,20145.4296875,2010-05-12
"2010-05-13",1694.57995605469,6691.68994140625,7770.56982421875,31580.630859375,1157.43994140625,2696.62890625,12116.599609375,10242.6396484375,19715.19921875,2010-05-13
"2010-05-14",1695.63000488281,6691.68994140625,7772.1298828125,31136.349609375,1135.68005371094,2559.93090820312,12015,10186.83984375,19944.939453125,2010-05-14
"2010-05-17",1651.51000976562,NA,7598.72021484375,30992.759765625,1136.93994140625,2594.78295898438,11813,10030.3095703125,19578.98046875,2010-05-17
"2010-05-18",1643.23999023438,6494.080078125,7585.2998046875,30368.080078125,1120.80004882812,2587.80688476562,11764.5,9784.5400390625,19545.830078125,2010-05-18
"2010-05-19",1630.07995605469,6557.08984375,7559.16015625,30629.150390625,1115.05004882812,2555.93994140625,11665.7998046875,9758.400390625,19667.759765625,2010-05-19
"2010-05-20",1600.18005371094,6401.06005859375,7424.43017578125,30759.48046875,1071.58996582031,2583.52197265625,11406,9459.8896484375,18985.5,2010-05-20
"2010-05-24",1604.93005371094,6401.06005859375,7237.7099609375,30634.169921875,1087.68994140625,2673.42309570312,11521.400390625,9522.66015625,19196.44921875,2010-05-24
"2010-05-25",1560.82995605469,NA,7322.72998046875,31328.490234375,1073.65002441406,2622.6298828125,11518.099609375,9639.7197265625,19431.369140625,2010-05-25
"2010-05-26",1582.11999511719,6177.25,7086.3701171875,32056.16015625,1074.03002929688,2625.79296875,11543.900390625,9762.98046875,19766.7109375,2010-05-26
"2010-05-27",1607.5,5760.330078125,7167.35009765625,31547.55078125,1067.94995117188,2655.91796875,11749.099609375,9768.7001953125,19765.189453125,2010-05-27
"2010-05-28",1622.78002929688,5862.31005859375,7243.16015625,32038.529296875,1103.06005859375,2655.76708984375,11671.400390625,9711.830078125,19496.94921875,2010-05-28
"2010-05-31",1641.25,5862.31005859375,7295.31982421875,31245.830078125,1089.41003417969,2592.14599609375,11763,9603.240234375,19471.80078125,2010-05-31
"2010-06-01",1630.40002441406,NA,7373.97998046875,31411.91015625,1070.7099609375,2568.28295898438,11572,9914.1904296875,19786.7109375,2010-06-01
